date, pm25, pm10, o3, no2
2019/11/29, , 12, 20, 4
2019/11/30, , 18, 7, 3
2019/12/1, , 13, 8, 10
2019/12/2, , 17, 11, 9
2019/12/3, , 15, 11, 9
2019/12/4, , 14, 8, 10
2019/12/5, , 14, 22, 7
2019/12/6, , 15, 21, 3
2019/12/7, , 6, 28, 2
2019/12/8, , 5, 29, 4
2019/12/10, , 13, 22, 5
2019/12/11, , 10, 24, 3
2019/12/15, , 10, 26, 7
2019/12/16, , 7, 24, 2
2019/12/17, , 9, 22, 5
2019/12/18, , 10, 22, 2
2019/12/19, , 15, 25, 4
2019/12/20, , 18, 26, 3
2019/12/21, , 9, 24, 
2019/12/24, , 10, 24, 
2019/12/25, , 7, 20, 3
2019/12/26, , 11, 18, 8
2019/12/27, , 18, 5, 9
2019/12/28, , 23, , 5
2019/12/29, , 24, , 
2019/7/1, , 19, 33, 3
2019/7/2, , 13, 35, 3
2019/7/3, , 11, 35, 5
2019/7/4, , 16, 52, 6
2019/7/5, , 20, 51, 3
2019/7/6, , 18, 29, 2
2019/7/7, , 11, 27, 3
2019/7/8, , 7, 32, 
2019/7/9, , 6, 39, 4
2019/7/10, , 15, 27, 5
2019/7/11, , 15, 34, 3
2019/7/12, , 17, 30, 
2019/7/13, , 13, 26, 4
2019/7/14, , 5, 23, 3
2019/7/15, , 10, 17, 4
2019/7/16, , 11, 17, 3
2019/7/17, , 13, 43, 3
2019/7/18, , 18, 38, 4
2019/7/19, , 16, 33, 3
2019/7/20, , 15, 38, 
2019/7/21, , 11, 43, 6
2019/7/22, , 16, 54, 6
2019/7/23, , 22, 62, 8
2019/7/24, , 28, 81, 7
2019/7/25, , 39, 62, 9
2019/7/26, , 40, 48, 3
2019/7/27, , 23, 38, 3
2019/7/28, , 20, 44, 4
2019/7/29, , 24, 61, 5
2019/7/30, , 35, 31, 4
2019/7/31, , 21, 29, 3
2019/8/1, , 17, 44, 4
2019/8/2, , 20, 31, 
2019/8/3, , 16, 40, 2
2019/8/4, , 10, 47, 3
2019/8/5, , 10, 34, 3
2019/8/6, , 14, 34, 2
2019/8/7, , 12, 33, 3
2019/8/8, , 10, 33, 5
2019/8/9, , 17, 33, 
2019/8/10, , 12, 35, 2
2019/8/11, , 10, 29, 2
2019/8/12, , 9, 30, 3
2019/8/13, , 5, 39, 3
2019/8/14, , 11, 24, 3
2019/8/15, , 8, 36, 5
2019/8/16, , 12, 26, 
2019/8/17, , 11, 22, 
2019/8/19, , 11, 34, 4
2019/8/20, , 17, 39, 6
2019/8/21, , 19, 49, 10
2019/8/22, , 26, 65, 7
2019/8/23, , 27, 49, 6
2019/8/24, , 24, 52, 5
2019/8/25, , 20, 47, 7
2019/8/26, , 33, 51, 8
2019/8/27, , 41, 75, 9
2019/8/28, , 39, 34, 7
2019/8/29, , 29, 41, 5
2019/8/30, , 31, 52, 8
2019/8/31, , 32, 30, 4
2019/9/1, , 22, 30, 6
2019/9/2, , 20, 25, 4
2019/9/3, , 16, 32, 4
2019/9/4, , 14, 25, 3
2019/9/5, , 10, 31, 8
2019/9/6, , 15, 25, 5
2019/9/7, , 17, 23, 4
2019/9/8, , 11, 25, 6
2019/9/9, , 13, 33, 6
2019/9/10, , 27, 33, 7
2019/9/11, , 27, 25, 4
2019/9/12, , 12, 22, 4
2019/9/13, , 10, 31, 3
2019/9/14, , 13, 43, 3
2019/9/15, , 10, 17, 7
2019/9/16, , 13, 27, 2
2019/9/17, , 11, 26, 6
2019/9/18, , 19, 27, 5
2019/9/19, , 20, 28, 6
2019/9/20, , 28, 29, 6
2019/9/21, , 21, 39, 4
2019/9/22, , 11, 23, 4
2019/9/23, , 12, 26, 4
2019/9/24, , 30, 18, 3
2019/9/25, , 19, 14, 2
2019/9/26, , 8, 26, 3
2019/9/27, , 5, 22, 
2019/9/28, , 6, 25, 
2019/9/29, , 5, 24, 2
2019/4/1, , 21, 37, 6
2019/4/2, , 22, 30, 8
2019/4/3, , 14, 24, 9
2019/4/4, , 12, 24, 4
2019/4/5, , 14, 29, 3
2019/4/6, , 23, 44, 4
2019/4/7, , 24, 11, 6
2019/4/8, , 39, 31, 8
2019/4/9, , 46, 36, 6
2019/4/10, , 29, 34, 6
2019/4/11, , 26, 29, 6
2019/4/12, , 25, 30, 2
2019/4/13, , 17, 27, 
2019/4/14, , 18, 38, 4
2019/4/15, , 20, 43, 6
2019/4/16, , 25, 34, 7
2019/4/17, , 35, 45, 5
2019/4/18, , 31, 44, 2
2019/4/19, , 23, 58, 9
2019/4/20, , 21, 55, 3
2019/4/21, , 22, 48, 2
2019/4/22, , 16, 44, 3
2019/4/23, , 17, 43, 4
2019/4/24, , 29, 38, 4
2019/4/25, , 17, 28, 7
2019/4/26, , 14, 30, 4
2019/4/27, , 9, 28, 2
2019/4/28, , 10, 26, 4
2019/4/29, , 17, 39, 4
2019/4/30, , 26, 32, 3
2019/5/1, , 27, 32, 4
2019/5/2, , 35, 36, 3
2019/5/3, , 17, 32, 2
2019/5/4, , 8, 33, 
2019/5/5, , 10, 30, 5
2019/5/6, , 15, 26, 5
2019/5/7, , 20, 30, 3
2019/5/8, , 13, 30, 4
2019/5/9, , 8, 31, 5
2019/5/10, , 11, 33, 4
2019/5/11, , 13, 36, 2
2019/5/12, , 9, 36, 5
